ngay,doanhthu
2022-03-01,13.9
2022-03-02,12.88
2022-03-03,14.27
2022-03-04,18.2
2022-03-05,24.73
2022-03-06,18.41
2022-03-07,13.01
2022-03-08,13.73
2022-03-09,12.71
2022-03-10,14.1
2022-03-11,18.04
2022-03-12,24.59
2022-03-13,18.28
2022-03-14,12.92
2022-03-15,13.67
2022-03-16,12.68
2022-03-17,14.12
2022-03-18,18.11
2022-03-19,24.71
2022-03-20,18.46
2022-03-21,13.15
2022-03-22,13.95
2022-03-23,13.03
2022-03-24,14.51
2022-03-25,18.55
2022-03-26,25.2
2022-03-27,19.0
2022-03-28,13.73
2022-03-29,14.57
2022-03-30,13.67
2022-03-31,15.17
2022-04-01,19.23
2022-04-02,25.88
2022-04-03,19.67
2022-04-04,14.38
2022-04-05,15.2
2022-04-06,14.27
2022-04-07,15.74
2022-04-08,19.75
2022-04-09,26.35
2022-04-10,20.08
2022-04-11,14.74
2022-04-12,15.49
2022-04-13,14.5
2022-04-14,15.9
2022-04-15,19.84
2022-04-16,26.37
2022-04-17,20.05
2022-04-18,14.64
2022-04-19,15.34
2022-04-20,14.29
2022-04-21,15.65
2022-04-22,19.56
2022-04-23,26.07
2022-04-24,19.72
2022-04-25,14.31
2022-04-26,15.0
2022-04-27,13.97
2022-04-28,15.34
2022-04-29,19.28
2022-04-30,25.82
2022-05-01,19.52
2022-05-02,14.15
2022-05-03,14.91
2022-05-04,13.93
2022-05-05,15.37
2022-05-06,19.37
2022-05-07,25.98
2022-05-08,19.75
2022-05-09,14.45
2022-05-10,15.27
2022-05-11,14.35
2022-05-12,15.85
2022-05-13,19.9
2022-05-14,26.55
2022-05-15,20.35
2022-05-16,15.08
2022-05-17,15.91
2022-05-18,15.0
2022-05-19,16.5
2022-05-20,20.53
2022-05-21,27.16
2022-05-22,20.93
2022-05-23,15.62
2022-05-24,16.4
2022-05-25,15.43
2022-05-26,16.86
2022-05-27,20.83
2022-05-28,27.39
2022-05-29,21.08
2022-05-30,15.68
2022-05-31,16.39
2022-06-01,15.34
2022-06-02,16.69
2022-06-03,20.59
2022-06-04,27.07
2022-06-05,20.7
2022-06-06,15.25
2022-06-07,15.91
2022-06-08,14.82
2022-06-09,16.15
2022-06-10,20.02
2022-06-11,26.5
2022-06-12,20.13
2022-06-13,14.69
2022-06-14,15.37
2022-06-15,14.31
2022-06-16,15.68
2022-06-17,19.6
2022-06-18,26.13
2022-06-19,19.82
2022-06-20,14.45
2022-06-21,15.21
2022-06-22,14.23
2022-06-23,15.67
2022-06-24,19.67
2022-06-25,26.28
2022-06-26,20.05
2022-06-27,14.75
2022-06-28,15.57
2022-06-29,14.65
2022-06-30,16.14
2022-07-01,20.19
2022-07-02,26.84
2022-07-03,20.63
2022-07-04,15.35
2022-07-05,16.18
2022-07-06,15.26
2022-07-07,16.74
2022-07-08,20.77
2022-07-09,27.39
2022-07-10,21.14
2022-07-11,15.82
2022-07-12,16.59
2022-07-13,15.61
2022-07-14,17.04
2022-07-15,21.0
2022-07-16,27.55
2022-07-17,21.24
2022-07-18,15.84
2022-07-19,16.55
2022-07-20,15.51
2022-07-21,16.88
2022-07-22,20.78
2022-07-23,27.29
2022-07-24,20.93
2022-07-25,15.51
2022-07-26,16.19
2022-07-27,15.13
2022-07-28,16.49
2022-07-29,20.39
2022-07-30,26.91
2022-07-31,20.57
2022-08-01,15.17
2022-08-02,15.89
2022-08-03,14.88
2022-08-04,16.28
2022-08-05,20.24
2022-08-06,26.81
2022-08-07,20.54
2022-08-08,15.21
2022-08-09,15.99
2022-08-10,15.04
2022-08-11,16.51
2022-08-12,20.54
2022-08-13,27.18
2022-08-14,20.96
2022-08-15,15.68
2022-08-16,16.51
2022-08-17,15.61
2022-08-18,17.11
2022-08-19,21.17
2022-08-20,27.82
2022-08-21,21.62
2022-08-22,16.35
2022-08-23,17.18
2022-08-24,16.26
2022-08-25,17.75
2022-08-26,21.79
2022-08-27,28.42
2022-08-28,22.18
2022-08-29,16.87
2022-08-30,17.66
2022-08-31,16.71
2022-09-01,18.15
2022-09-02,22.14
2022-09-03,28.72
2022-09-04,22.45
