name	id	date	cuahang_id	sum	total	mon	customer	bill	vat	phuphi	male	female	num_of_bill	complain	chiphi	goods	returns	customer_info	hour_per_bill	hours	tour	expense	room	profit	created_by	created_date	modified_by	modified_date	trangthai
ICOOL Bình Phú	EFFC8514-8199-EC11-8111-509A4C8C9FAC	2022-03-01	6	51810800.00	50210360.00	1450000.00	0.00	150440.00	0.00	0.00	155	124	37	1	8509677.43	11298477.52	0.00	6	5	220	1.54	0.00	24	30402205.05	system	2022-03-02 00:00:22.660	system	NULL	4
ICOOL Cách Mạng Tháng 8	8158B81A-8199-EC11-8111-509A4C8C9FAC	2022-03-01	14	40172900.00	38677105.00	1380000.00	29115.00	86680.00	0.00	0.00	90	54	28	3	21411048.38	45562713.45	40550181.03	10	10	300	0.97	0.00	29	12253524.20	system	2022-03-02 00:00:32.997	system	NULL	4
ICOOL Cầu Chữ Y	6057C320-8199-EC11-8111-509A4C8C9FAC	2022-03-01	16	19276200.00	18782000.00	494200.00	0.00	0.00	0.00	0.00	53	51	17	0	5483870.97	4308846.90	0.00	6	5	100	1.21	0.00	14	8989282.13	system	2022-03-02 00:00:43.130	system	NULL	4
ICOOL Đồng Đen	1851D026-8199-EC11-8111-509A4C8C9FAC	2022-03-01	22	33778900.00	32696910.00	864000.00	0.00	217990.00	130848.00	0.00	88	60	25	6	14480161.29	6780140.57	0.00	7	6	150	1	0.00	25	11567456.14	system	2022-03-02 00:00:53.283	system	NULL	4
ICOOL Dương Bá Trạc	966CF02C-8199-EC11-8111-509A4C8C9FAC	2022-03-01	7	86401900.00	83708140.00	1453000.00	0.00	1240760.00	0.00	0.00	151	134	51	5	16129032.26	17964109.37	0.00	9	5.88	300	1.96	0.00	26	49614998.37	system	2022-03-02 00:01:03.560	system	NULL	4
ICOOL Mạc Đỉnh Chi	32D3FB38-8199-EC11-8111-509A4C8C9FAC	2022-03-01	12	66354700.34	63899380.34	1879860.00	0.00	575460.00	253264.00	0.00	157	127	43	0	19629032.27	12280277.82	157914.00	5	5	240	1.95	0.00	22	32401248.25	system	2022-03-02 00:01:23.760	system	NULL	4
ICOOL Nguyễn Sơn	B641083F-8199-EC11-8111-509A4C8C9FAC	2022-03-01	9	30999600.00	29933240.00	1066360.00	0.00	0.00	0.00	0.00	95	57	29	2	8732903.23	6496579.87	0.00	5	4.14	120	1.93	0.00	15	14703756.90	system	2022-03-02 00:01:33.910	system	NULL	4
ICOOL Nguyễn Trãi	A0CC0E45-8199-EC11-8111-509A4C8C9FAC	2022-03-01	11	10077200.00	9857200.00	220000.00	0.00	0.00	0.00	0.00	29	18	11	1	5956499.94	2070203.92	0.00	7	8	90	0.69	0.00	16	1830496.14	system	2022-03-02 00:01:44.020	system	NULL	4
ICOOL Nguyễn Tri Phương	9B4F174B-8199-EC11-8111-509A4C8C9FAC	2022-03-01	19	12950700.00	12051410.00	813300.00	85990.00	0.00	0.00	0.00	36	32	16	0	7064516.12	2526671.58	0.00	3	6	110	1	0.00	16	2460222.30	system	2022-03-02 00:01:54.140	system	NULL	4
ICOOL Nhị Thiên Đường	51C92451-8199-EC11-8111-509A4C8C9FAC	2022-03-01	17	30636900.00	29622150.00	613750.00	0.00	401000.00	320080.00	100000.00	59	44	21	1	8064516.14	6326917.91	0.00	3	5	120	1.31	0.00	16	15650795.95	system	2022-03-02 00:02:04.293	system	NULL	4
ICOOL Phan Chu Trinh	53FF2B57-8199-EC11-8111-509A4C8C9FAC	2022-03-01	23	11723300.00	11393300.00	330000.00	0.00	0.00	0.00	0.00	27	18	10	0	6568064.52	2907446.95	0.00	1	11	110	0.71	0.00	14	1917788.53	system	2022-03-02 00:02:14.420	system	NULL	4
ICOOL Phan Xích Long	4497485D-8199-EC11-8111-509A4C8C9FAC	2022-03-01	24	53044300.00	50694300.00	2350000.00	0.00	0.00	0.00	0.00	100	91	33	4	14032258.06	9560585.76	0.00	13	6	200	1.32	0.00	25	27101456.18	system	2022-03-02 00:02:24.663	system	NULL	4
ICOOL Thành Thái	81FA4C69-8199-EC11-8111-509A4C8C9FAC	2022-03-01	10	39716400.00	38338350.00	880000.00	96600.00	401450.00	258792.00	0.00	112	76	31	1	16774193.55	7604462.53	0.00	3	7	220	1.11	0.00	28	14218485.92	system	2022-03-02 00:02:44.823	system	NULL	4
ICOOL Tô Ký	67E7566F-8199-EC11-8111-509A4C8C9FAC	2022-03-01	5	26813200.00	25966772.00	640928.00	0.00	205500.00	121648.00	0.00	103	17	18	1	9241935.48	6350309.91	0.00	1	10.56	190	0.69	0.00	26	10496174.60	system	2022-03-02 00:02:54.957	system	NULL	4
ICOOL Trần Bình Trọng	53A65F75-8199-EC11-8111-509A4C8C9FAC	2022-03-01	13	24109100.00	22126770.00	1575300.00	190850.00	216180.00	0.00	0.00	45	52	21	2	9129032.26	6824008.15	2106129.33	6	6.19	130	1.24	0.00	17	8279858.92	system	2022-03-02 00:03:05.083	system	NULL	4
ICOOL Trần Não	CEBE827B-8199-EC11-8111-509A4C8C9FAC	2022-03-01	18	59278300.00	57033300.00	2245000.00	0.00	0.00	119280.00	0.00	157	105	36	2	11483870.96	11226858.70	23500.00	10	5	180	1.8	0.00	20	34465350.34	system	2022-03-02 00:03:15.430	system	NULL	4
ICOOL Ung Văn Khiêm	238BA581-8199-EC11-8111-509A4C8C9FAC	2022-03-01	1	84046400.00	80791120.00	2350000.00	0.00	905280.00	292000.00	0.00	226	179	43	2	23000000.00	17564826.24	0.00	20	8	350	1.07	0.00	40	40518293.76	system	2022-03-02 00:03:25.670	system	NULL	4
ICOOL Vũng Tàu	70BFAF87-8199-EC11-8111-509A4C8C9FAC	2022-03-01	25	9298800.00	9236300.00	0.00	0.00	62500.00	0.00	0.00	18	16	10	0	4682258.07	2249213.96	0.00	0	8	80	0.59	0.00	17	2304827.97	system	2022-03-02 00:03:35.807	system	NULL	4
ICOOL Xô Viết Nghệ Tĩnh	C4D3BC8D-8199-EC11-8111-509A4C8C9FAC	2022-03-01	4	46342700.00	45255340.00	974850.00	30620.00	81890.00	0.00	0.00	150	81	38	5	12725806.45	9552583.14	0.00	14	5	200	1.31	0.00	29	22976950.41	system	2022-03-02 00:03:45.957	system	NULL	4
ICOOL Bình Phú	D2B2493F-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	6	45582300.00	43328580.00	1733000.00	0.00	520720.00	0.00	0.00	131	88	28	2	8509677.43	10163614.51	0.00	4	7	200	1.17	0.00	24	24655288.06	system	2022-03-03 00:00:23.167	system	NULL	4
ICOOL Cách Mạng Tháng 8	06D66C45-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	14	46238900.00	44238525.00	1519605.00	0.00	480770.00	0.00	0.00	94	67	27	3	21411048.38	9487094.80	0.00	3	8	240	0.93	0.00	29	13340381.82	system	2022-03-03 00:00:33.463	system	NULL	4
ICOOL Cầu Chữ Y	04AB734B-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	16	8022900.00	7472900.00	550000.00	0.00	0.00	0.00	0.00	21	19	5	0	5483870.97	1788143.64	0.00	3	16	80	0.36	0.00	14	200885.39	system	2022-03-03 00:00:43.573	system	NULL	4
ICOOL Đồng Đen	57B88451-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	22	20901200.00	20681200.00	220000.00	0.00	0.00	0.00	0.00	49	32	16	3	14480161.29	4430931.93	0.00	4	9	150	0.64	0.00	25	1770106.78	system	2022-03-03 00:00:53.753	system	NULL	4
ICOOL Dương Bá Trạc	B9FF9457-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	7	75987800.00	72799040.00	2395000.00	107050.00	686710.00	0.00	0.00	144	117	43	4	16129032.26	15684372.43	0.00	11	6.98	300	1.65	0.00	26	40985635.31	system	2022-03-03 00:01:03.927	system	NULL	4
ICOOL Mạc Đỉnh Chi	29769663-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	12	44411900.00	40844120.00	1596710.00	52150.00	1918920.00	0.00	0.00	88	92	30	0	19629032.27	7234803.53	0.00	4	7	230	1.36	0.00	22	13980284.20	system	2022-03-03 00:01:24.070	system	NULL	4
ICOOL Nguyễn Sơn	E8AEA169-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	9	21284200.00	19899390.00	990000.00	0.00	394810.00	0.00	0.00	51	33	16	1	8732903.23	4970510.94	0.00	9	7.5	120	1.07	0.00	15	6195975.83	system	2022-03-03 00:01:34.210	system	NULL	4
ICOOL Nguyễn Trãi	91E0A86F-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	11	13873900.00	13022900.00	499000.00	0.00	352000.00	0.00	100000.00	32	21	10	0	5956499.94	2889545.25	0.00	1	8	80	0.63	0.00	16	4276854.81	system	2022-03-03 00:01:44.323	system	NULL	4
ICOOL Nguyễn Tri Phương	22C4B175-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	19	18667400.00	18150760.00	380000.00	0.00	136640.00	0.00	0.00	53	37	17	1	7064516.12	3984279.53	0.00	4	6	110	1.06	0.00	16	7101964.35	system	2022-03-03 00:01:54.447	system	NULL	4
ICOOL Nhị Thiên Đường	6A1FBE7B-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	17	22458900.00	21808900.00	650000.00	0.00	0.00	0.00	0.00	40	25	14	1	8064516.14	5033317.95	0.00	5	8	120	0.88	0.00	16	8711065.91	system	2022-03-03 00:02:04.593	system	NULL	4
ICOOL Phan Chu Trinh	08B4C681-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	23	7384100.00	6989100.00	395000.00	0.00	0.00	0.00	0.00	16	13	6	0	6568064.52	2080268.98	0.00	3	18.33	110	0.43	0.00	14	-1659233.50	system	2022-03-03 00:02:14.717	system	NULL	4
ICOOL Phan Xích Long	E43BDA87-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	24	56623100.00	55068100.00	1555000.00	0.00	0.00	0.00	0.00	162	71	37	9	14032258.06	10591099.53	477949.00	19	5	200	1.48	0.00	25	30922691.41	system	2022-03-03 00:02:24.910	system	NULL	4
ICOOL Thành Thái	CA93DD93-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	10	42179700.00	40337190.00	1530880.00	47250.00	264380.00	89536.00	0.00	121	60	30	4	16774193.55	9476060.41	0.00	13	7	220	1.07	0.00	28	14176472.04	system	2022-03-03 00:02:45.063	system	NULL	4
ICOOL Tô Ký	6234E699-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	5	10632000.00	9928940.00	552000.00	0.00	151060.00	0.00	0.00	54	3	10	1	9241935.48	2455516.63	0.00	0	19	190	0.38	0.00	26	-1768512.11	system	2022-03-03 00:02:55.190	system	NULL	4
ICOOL Trần Bình Trọng	4719EE9F-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	13	9295200.00	8778200.00	398000.00	0.00	119000.00	0.00	0.00	15	36	9	0	9129032.26	1710424.63	0.00	4	13.33	120	0.53	0.00	17	-2061256.89	system	2022-03-03 00:03:05.307	system	NULL	4
ICOOL Trần Não	BF98F7A5-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	18	52568800.00	50664858.18	1768181.82	0.00	135760.00	245384.00	0.00	139	108	30	3	11483870.96	11500834.41	0.00	9	6	190	1.5	0.00	20	27925536.81	system	2022-03-03 00:03:15.433	system	NULL	4
ICOOL Ung Văn Khiêm	49BE0BAC-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	1	99387800.00	96542635.00	2300000.00	309575.00	235590.00	315056.00	0.00	293	201	54	1	23000000.00	20778765.92	0.00	15	6	350	1.35	0.00	40	53078925.08	system	2022-03-03 00:03:25.633	system	NULL	4
ICOOL Vũng Tàu	A81D11B2-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	25	4272500.00	4272500.00	0.00	0.00	0.00	0.00	110000.00	8	4	4	0	4682258.07	1236792.98	0.00	0	17	70	0.24	0.00	17	-1536551.05	system	2022-03-03 00:03:35.733	system	NULL	4
ICOOL Xô Viết Nghệ Tĩnh	2CE11CB8-4A9A-EC11-8111-509A4C8C9FAC	2022-03-02	4	38535600.00	34198400.00	3046000.00	133400.00	1157800.00	0.00	0.00	109	64	30	2	12725806.45	8384831.52	0.00	15	6	200	1.03	0.00	29	13087762.03	system	2022-03-03 00:03:45.877	system	NULL	4
ICOOL Bình Phú	F9D1036A-139B-EC11-8111-509A4C8C9FAC	2022-03-03	6	49315500.00	47289560.00	1839000.00	0.00	186940.00	0.00	0.00	116	76	32	0	8509677.43	11960601.19	0.00	10	5	190	1.33	0.00	24	26819281.38	system	2022-03-04 00:00:23.693	system	NULL	4
ICOOL Cách Mạng Tháng 8	95A32270-139B-EC11-8111-509A4C8C9FAC	2022-03-03	14	65019800.00	62495650.00	2385000.00	0.00	139150.00	71712.00	0.00	131	91	33	1	21411048.38	12166101.77	0.00	7	7	240	1.14	0.00	29	28990211.85	system	2022-03-04 00:00:33.960	system	NULL	4
ICOOL Cầu Chữ Y	36732C76-139B-EC11-8111-509A4C8C9FAC	2022-03-03	16	14971700.00	13834500.00	1106000.00	0.00	31200.00	0.00	0.00	30	33	11	1	5483870.97	3910816.29	0.00	5	7	80	0.79	0.00	14	4439812.74	system	2022-03-04 00:00:44.093	system	NULL	4
ICOOL Đồng Đen	A345397C-139B-EC11-8111-509A4C8C9FAC	2022-03-03	22	38790500.00	37295680.00	990000.00	0.00	504820.00	0.00	0.00	108	70	27	2	14480161.29	8688183.50	0.00	6	6	180	1.08	0.00	25	14127335.21	system	2022-03-04 00:00:54.243	system	NULL	4
ICOOL Dương Bá Trạc	B1575082-139B-EC11-8111-509A4C8C9FAC	2022-03-03	7	85632800.00	82571630.00	2208000.00	0.00	853170.00	221600.00	0.00	155	140	49	5	16129032.26	18329716.09	0.00	22	6.12	300	1.88	0.00	26	48334481.65	system	2022-03-04 00:01:04.460	system	NULL	4
ICOOL Mạc Đỉnh Chi	6DA9578E-139B-EC11-8111-509A4C8C9FAC	2022-03-03	12	48001400.00	45421000.00	2245930.00	0.00	334470.00	0.00	0.00	105	95	32	4	19629032.27	7521550.43	0.00	9	7	230	1.45	0.00	22	18270417.30	system	2022-03-04 00:01:24.643	system	NULL	4
ICOOL Nguyễn Sơn	A73D6294-139B-EC11-8111-509A4C8C9FAC	2022-03-03	9	21910700.00	19458722.00	2290058.00	0.00	161920.00	0.00	0.00	59	29	19	0	8732903.23	4869909.25	0.00	3	7.37	140	1.27	0.00	15	5855909.52	system	2022-03-04 00:01:34.777	system	NULL	4
ICOOL Nguyễn Trãi	92CC6A9A-139B-EC11-8111-509A4C8C9FAC	2022-03-03	11	17053000.00	16237140.00	744560.00	71300.00	0.00	0.00	0.00	42	23	12	0	5956499.94	4301556.96	0.00	2	7.5	90	0.75	0.00	16	5979083.10	system	2022-03-04 00:01:44.900	system	NULL	4
ICOOL Nguyễn Tri Phương	109173A0-139B-EC11-8111-509A4C8C9FAC	2022-03-03	19	13309400.00	12008940.00	977500.00	0.00	322960.00	0.00	0.00	32	30	16	3	7064516.12	2267337.29	0.00	3	6	110	1	0.00	16	2677086.59	system	2022-03-04 00:01:55.023	system	NULL	4
ICOOL Nhị Thiên Đường	7FB57BA6-139B-EC11-8111-509A4C8C9FAC	2022-03-03	17	39677000.00	36785080.00	1949000.00	0.00	942920.00	0.00	0.00	59	53	18	3	8064516.14	10452713.87	0.00	5	6	110	1.13	0.00	16	18267849.99	system	2022-03-04 00:02:05.143	system	NULL	4
