S? l??ng hóa ??n,S? khách,Doanh s?,Doanh thu,Gi?m giá món,Gi?m giá hóa ??n,Gi?m giá thành viên,VAT,Ph? phí,Mã c?a hàng,Tên c?a hàng,Ngày
70,418,86496200,82370775,923600,472120,2729705,402623.5,0,1,ICOOL Ung V?n Khiêm,25/07/2017
21,90,9561200,9561200,0,0,0,0,0,10,ICOOL Thành Thái,25/07/2017
10,62,5988700,5797225,0,0,191475,0,0,2,AAPPLE Hoàng Vi?t,25/07/2017
57,317,62468200,60417855,0,652410,1397935,116928,0,4,ICOOL Xô Vi?t Ngh? T?nh,25/07/2017
38,141,42868500,41035890,486000,144200,1202410,0,0,5,ICOOL Tô Ký,25/07/2017
54,311,55665300,53434530,62000,647000,1521770,0,0,6,ICOOL Bình Phú,25/07/2017
38,250,41295000,40457175,0,452950,384875,0,530000,7,ICool D??ng Bá Tr?c,25/07/2017
75,481,95504100,86720265,356000,6417750,2010085,0,0,1,ICOOL Ung V?n Khiêm,26/07/2017
20,68,5765000,5765000,0,0,0,0,0,10,ICOOL Thành Thái,26/07/2017
9,51,6922600,6857780,0,30610,34210,0,0,2,AAPPLE Hoàng Vi?t,26/07/2017
40,203,36487200,34961740,0,816560,708900,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,26/07/2017
21,76,18655400,17817095,296400,110390,431515,0,0,5,ICOOL Tô Ký,26/07/2017
34,171,30929700,30000830,31000,117600,780270,0,0,6,ICOOL Bình Phú,26/07/2017
54,314,58481800,56685465,541000,539400,715935,0,0,7,ICool D??ng Bá Tr?c,26/07/2017
76,418,96707700,92522870,759000,1505440,1920390,119583,500000,1,ICOOL Ung V?n Khiêm,27/07/2017
12,57,5803700,5803700,0,0,0,0,0,10,ICOOL Thành Thái,27/07/2017
12,64,8975300,8818665,0,98060,58575,0,0,2,AAPPLE Hoàng Vi?t,27/07/2017
62,324,58541900,56548780,0,781220,1211900,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,27/07/2017
31,145,30759000,29924370,350400,0,484230,0,0,5,ICOOL Tô Ký,27/07/2017
50,329,60744900,58635325,0,80250,2029325,0,700000,6,ICOOL Bình Phú,27/07/2017
37,265,48116200,43197015,429000,4122500,367685,0,0,7,ICool D??ng Bá Tr?c,27/07/2017
87,596,128260700,121545840,3134300,1105580,2474980,293317.5,400000,1,ICOOL Ung V?n Khiêm,28/07/2017
21,84,9132200,9132200,0,0,0,0,0,10,ICOOL Thành Thái,28/07/2017
24,136,20218000,19672115,176000,0,369885,0,0,2,AAPPLE Hoàng Vi?t,28/07/2017
70,379,72437800,70008240,89000,752400,1588160,31580,0,4,ICOOL Xô Vi?t Ngh? T?nh,28/07/2017
48,213,52841600,50583065,906300,0,1352235,0,0,5,ICOOL Tô Ký,28/07/2017
55,334,62297400,58676375,487800,1103000,2030225,0,150000,6,ICOOL Bình Phú,28/07/2017
45,270,60097600,58596245,735000,23400,742955,0,0,7,ICool D??ng Bá Tr?c,28/07/2017
109,768,158043700,152354515,1419000,432440,3837745,133960,0,1,ICOOL Ung V?n Khiêm,29/07/2017
29,124,16243100,16236130,0,0,6970,0,0,10,ICOOL Thành Thái,29/07/2017
27,138,18677600,17972770,0,67650,637180,0,0,2,AAPPLE Hoàng Vi?t,29/07/2017
100,602,120085300,116659020,0,1511180,1915100,28050,0,4,ICOOL Xô Vi?t Ngh? T?nh,29/07/2017
62,268,67964900,64989690,1527000,0,1448210,110480,0,5,ICOOL Tô Ký,29/07/2017
82,502,105032600,99930340,1278300,723400,3100560,0,0,6,ICOOL Bình Phú,29/07/2017
59,354,70519300,68520435,1188000,104700,706165,121665,0,7,ICool D??ng Bá Tr?c,29/07/2017
96,602,128301400,123678625,1423000,778100,2421675,111575,0,1,ICOOL Ung V?n Khiêm,30/07/2017
22,70,7913600,7913600,0,0,0,0,0,10,ICOOL Thành Thái,30/07/2017
15,85,13351900,13097650,0,0,254250,0,0,2,AAPPLE Hoàng Vi?t,30/07/2017
100,577,122565100,118466510,89000,1631460,2378130,72000,0,4,ICOOL Xô Vi?t Ngh? T?nh,30/07/2017
58,261,74465200,71829460,958300,376180,1301260,115830,0,5,ICOOL Tô Ký,30/07/2017
85,531,113511800,109034510,74700,1074700,3327890,105450,50000,6,ICOOL Bình Phú,30/07/2017
54,334,74978600,73389015,553000,0,1036585,0,0,7,ICool D??ng Bá Tr?c,30/07/2017
76,461,101032200,94830385,1531600,1339880,3330335,370911,0,1,ICOOL Ung V?n Khiêm,31/07/2017
23,73,6651200,6651200,0,0,0,0,0,10,ICOOL Thành Thái,31/07/2017
14,68,10128200,9998500,0,0,129700,0,0,2,AAPPLE Hoàng Vi?t,31/07/2017
64,392,70836100,69237840,178000,376800,1043460,149120,150000,4,ICOOL Xô Vi?t Ngh? T?nh,31/07/2017
38,165,37151000,35391250,0,767850,991900,0,0,5,ICOOL Tô Ký,31/07/2017
41,261,44904600,43038700,209400,488800,1167700,180550,0,6,ICOOL Bình Phú,31/07/2017
42,224,39566500,38223140,298000,493500,551860,63050,0,7,ICool D??ng Bá Tr?c,31/07/2017
82,518,110215600,106373315,1021500,670750,2150035,580900,0,1,ICOOL Ung V?n Khiêm,01/08/2017
24,99,10235600,10235600,0,0,0,62320,0,10,ICOOL Thành Thái,01/08/2017
15,73,10904700,10714150,38000,60000,92550,0,0,2,AAPPLE Hoàng Vi?t,01/08/2017
60,300,58090400,56088970,0,517800,1483630,0,0,4,ICOOL Xô Vi?t Ngh? T?nh,01/08/2017
38,149,40326000,37793840,571000,573450,1387710,0,0,5,ICOOL Tô Ký,01/08/2017
