name	id	date	cuahang_id	sum	total	mon	customer	bill	vat	phuphi	male	female	num_of_bill	complain	chiphi	goods	returns	customer_info	hour_per_bill	hours	tour	expense	room	profit	created_by	created_date	modified_by	modified_date	trangthai
ICOOL Ung V?n Khiêm	FF944F38-B82C-EA11-80DB-509A4C8C9FAC	01/01/2020	1	204014960	199963900	1732000	0	2319060	36100	0	480	397	118	10	22746618.1	43374485.74	0	62	3.48	411	3.37	0	35	133878896.2	system	00:32.9	system	NULL	4
ICOOL Thành Thái	1B8C364A-B82C-EA11-80DB-509A4C8C9FAC	01/01/2020	10	123897400	122003085	811000	254305	829010	107550	100000	389	339	88	9	19226739.58	24519893.7	0	45	4.16	366	3.83	0	23	78464001.72	system	01:02.9	system	NULL	4
ICOOL Nguy?n Trãi	017B225C-B82C-EA11-80DB-509A4C8C9FAC	01/01/2020	11	41834400	40585930	439400	69270	739800	0	0	115	119	39	7	6124583.23	8046630.95	0	21	4.1	160	2.44	0	16	26414715.82	system	01:32.9	system	NULL	4
ICOOL M?c ??nh Chi	F199046E-B82C-EA11-80DB-509A4C8C9FAC	01/01/2020	12	75903200	75132710	529350	241140	0	305775	0	181	188	67	12	14983870.97	12287957.78	0	42	4.48	300	3.19	0	21	48166656.26	system	02:03.0	system	NULL	4
ICOOL Tr?n Bình Tr?ng	7C98EE7F-B82C-EA11-80DB-509A4C8C9FAC	01/01/2020	13	16101800	16091650	0	10150	0	0	0	44	53	19	5	5290322.59	3716100.25	0	8	4	80	1.58	0	12	7085227.16	system	02:33.0	system	NULL	4
ICOOL Cách M?ng Tháng 8	632ADB91-B82C-EA11-80DB-509A4C8C9FAC	01/01/2020	14	71798800	52640050	19147200	11550	0	0	0	187	169	67	14	16064516.13	10721215.16	0	31	4.63	310	2.39	0	28	25854318.71	system	03:03.1	system	NULL	4
ICOOL C?u Ch? Y	8459C9A3-B82C-EA11-80DB-509A4C8C9FAC	01/01/2020	16	31883000	31608430	0	0	274570	0	0	116	85	31	6	4887096.77	8404429.25	0	11	2.9	90	2.58	0	12	18316903.98	system	03:33.2	system	NULL	4
ICOOL Nh? Thiên ???ng	8CDDB2B5-B82C-EA11-80DB-509A4C8C9FAC	01/01/2020	17	38342900	38165880	0	84960	92060	0	0	111	91	36	3	8722580.65	7255164.73	0	16	5	180	2.25	0	16	22188134.62	system	04:03.2	system	NULL	4
ICOOL Tr?n Não	C18490C7-B82C-EA11-80DB-509A4C8C9FAC	01/01/2020	18	114955800	113266040	539000	133250	1017510	369105	0	294	281	72	9	15387096.77	25618013.07	0	36	4.58	330	3.6	0	20	72630035.16	system	04:33.2	system	NULL	4
ICOOL Nguy?n Tri Ph??ng	8CED79D9-B82C-EA11-80DB-509A4C8C9FAC	01/01/2020	19	27779500	27594380	84000	0	101120	0	0	107	90	34	4	3213331.23	5431081.37	0	22	3.53	120	2.43	0	14	18949967.4	system	05:03.3	system	NULL	4
ICOOL ??ng ?en	B6CD59FD-B82C-EA11-80DB-509A4C8C9FAC	01/01/2020	22	41467500	41154350	116000	0	197150	0	0	205	137	52	1	8945806.45	9118295.2	0	2	2.5	130	2.74	0	19	23090248.35	system	06:03.4	system	NULL	4
ICOOL Phan Chu Trinh	E669370F-B92C-EA11-80DB-509A4C8C9FAC	01/01/2020	23	39017100	39017100	0	0	0	0	150000	106	98	37	4	5983870.97	10071619.62	0	12	2.43	90	3.08	0	12	23111609.41	system	06:33.4	system	NULL	4
ICOOL Xô Vi?t Ngh? T?nh	9C382121-B92C-EA11-80DB-509A4C8C9FAC	01/01/2020	4	173675000	171941565	874000	262840	596595	169210	0	525	405	122	15	14629032.26	39924669.19	0	49	2	310	4.21	0	29	117557073.6	system	07:03.5	system	NULL	4
ICOOL Tô Ký	6DDF0533-B92C-EA11-80DB-509A4C8C9FAC	01/01/2020	5	93704400	89409553	3083657	107100	1104090	0	0	315	181	75	12	11574838.71	22261523.07	0	20	2.8	210	2.88	0	26	55573191.22	system	07:33.5	system	NULL	4
ICOOL Bình Phú	972BE544-B92C-EA11-80DB-509A4C8C9FAC	01/01/2020	6	132413800	129723350	856800	368280	1465370	0	0	262	247	91	6	17732452.65	28723564.75	0	36	3.3	300	3.79	0	24	83267332.61	system	08:03.5	system	NULL	4
ICOOL D??ng Bá Tr?c	5F0FCC56-B92C-EA11-80DB-509A4C8C9FAC	01/01/2020	7	156292101	151526501	3381900	227260	1156440	246713	0	221	257	92	8	13842110.84	32681429.68	0	29	3.35	308	4	0	23	105249673.5	system	08:33.5	system	NULL	4
ICOOL Nguy?n S?n	DCD5AC68-B92C-EA11-80DB-509A4C8C9FAC	01/01/2020	9	72896900	71858520	319000	0	719380	98650	0	206	207	57	4	7985806.45	17082219.56	0	38	3.16	180	4.07	0	14	46889143.99	system	09:03.5	system	NULL	4
ICOOL Ung V?n Khiêm	40CF0E65-812D-EA11-80DB-509A4C8C9FAC	02/01/2020	1	93051200	91920990	249000	151200	730010	291550	0	241	207	55	12	22746618.1	19941241.99	0	26	5.75	316	1.57	0	35	49524679.91	system	00:36.8	system	NULL	4
ICOOL Thành Thái	B5FEEE76-812D-EA11-80DB-509A4C8C9FAC	02/01/2020	10	79125100	78788905	269570	66625	0	271960	100000	228	226	57	9	19226739.58	15871342.94	0	42	5.58	318	2.48	0	23	44062782.48	system	01:06.8	system	NULL	4
ICOOL Nguy?n Trãi	8D22DD88-812D-EA11-80DB-509A4C8C9FAC	02/01/2020	11	18667600	18303940	55700	0	307960	0	0	60	52	21	4	6124583.23	4007700.32	0	16	7.14	150	1.31	0	16	8171656.45	system	01:36.8	system	NULL	4
ICOOL M?c ??nh Chi	2865CB9A-812D-EA11-80DB-509A4C8C9FAC	02/01/2020	12	91564700	87672175	224000	160605	3507920	0	0	185	178	48	6	14983870.97	17751547.98	0	25	5.21	250	2.29	0	21	54936756.05	system	02:06.9	system	NULL	4
