name,id,date,cuahang_id,sum,total,mon,customer,bill,vat,phuphi,male,female,num_of_bill,complain,chiphi,goods,returns,customer_info,hour_per_bill,hours,tour,expense,room,profit,created_by,created_date,modified_by,modified_date,trangthai
ICOOL Ung Văn Khiêm,35360D09-544C-EB11-80FC-509A4C8C9FAC,2021-01-01,1,133260100.00,130995360.00,1601855.00,147515.00,515370.00,0.00,0.00,410,211,81,1,25600000.01,37121002.37,11424582.00,50,4,350,2.31,0.00,35,79698939.62,system,2021-01-02 00:08:58.773,system,NULL,4
ICOOL Thành Thái,5B577AC1-534C-EB11-80FC-509A4C8C9FAC,2021-01-01,10,77961600.00,75168090.00,1069480.00,151200.00,1572830.00,494838.00,0.00,217,155,59,6,20213348.39,15139187.40,12119435.05,30,0,1,2.11,0.00,28,52429827.26,system,2021-01-02 00:06:58.693,system,NULL,4
ICOOL Nguyễn Trãi,DAB10568-534C-EB11-80FC-509A4C8C9FAC,2021-01-01,11,41293000.00,39061845.00,1913300.00,66445.00,251410.00,0.00,0.00,85,120,34,2,6587311.84,18755490.95,10991668.00,6,4,160,2.13,0.00,16,24710710.21,system,2021-01-02 00:04:28.610,system,NULL,4
ICOOL Mạc Đỉnh Chi,CCC44144-534C-EB11-80FC-509A4C8C9FAC,2021-01-01,12,67527800.00,66302700.00,1175630.00,49470.00,0.00,0.00,0.00,88,103,46,8,22741935.48,18301335.53,10700100.98,21,6,320,2.09,0.00,22,35959529.97,system,2021-01-02 00:03:28.607,system,NULL,4
ICOOL Trần Bình Trọng,7CE246E5-534C-EB11-80FC-509A4C8C9FAC,2021-01-01,13,51672400.00,50427370.00,493970.00,0.00,751060.00,0.00,30000.00,139,114,37,3,9345161.29,17554212.01,10590434.00,11,5.68,210,2.18,0.00,17,34148430.70,system,2021-01-02 00:07:58.753,system,NULL,4
ICOOL Cách Mạng Tháng 8,6CF0D3EA-524C-EB11-80FC-509A4C8C9FAC,2021-01-01,14,101063300.00,99209555.00,938035.00,0.00,915710.00,450958.00,0.00,227,233,66,12,18661290.32,15571609.13,0.00,41,5,380,2.36,0.00,28,65427613.55,system,2021-01-02 00:00:58.570,system,NULL,4
ICOOL Cầu Chữ Y,FF64B3FC-524C-EB11-80FC-509A4C8C9FAC,2021-01-01,16,17070200.00,16926200.00,144000.00,0.00,0.00,0.00,0.00,43,42,13,0,4903225.80,7439548.94,0.00,1,8,110,0.93,0.00,14,4583425.26,system,2021-01-02 00:01:28.557,system,NULL,4
ICOOL Nhị Thiên Đường,8C75D28B-534C-EB11-80FC-509A4C8C9FAC,2021-01-01,17,52968600.00,50977945.00,740985.00,0.00,1249670.00,225220.00,0.00,104,76,34,2,10135483.88,22354690.68,12942919.34,6,5,170,2.13,0.00,16,31655909.78,system,2021-01-02 00:05:28.673,system,NULL,4
ICOOL Trần Não,F2A928F7-534C-EB11-80FC-509A4C8C9FAC,2021-01-01,18,100009700.00,99163760.00,736640.00,0.00,109300.00,409005.00,0.00,255,266,65,6,16096774.20,41155343.30,20460891.93,33,4,320,3.25,0.00,20,62781539.43,system,2021-01-02 00:08:28.753,system,NULL,4
ICOOL Nguyễn Tri Phương,0A5FEF79-534C-EB11-80FC-509A4C8C9FAC,2021-01-01,19,28670800.00,28236800.00,434000.00,0.00,0.00,0.00,0.00,77,76,30,6,8090241.93,10605451.40,6216633.00,3,4,140,1.88,0.00,16,15757739.67,system,2021-01-02 00:04:58.663,system,NULL,4
