name	id	date	cuahang_id	sum	total	mon	customer	bill	vat	phuphi	male	female	num_of_bill	complain	chiphi	goods	returns	customer_info	hour_per_bill	hours	tour	expense	room	profit	created_by	created_date	modified_by	modified_date	trangthai
ICOOL V?ng Tàu	47EDE6D1-246B-EC11-810F-509A4C8C9FAC	01/01/2022	25	42314700	42035700	0	0	279000	0	0	103	99	40	0	3582580.65	8964703.78	0	0	1	40	2.35	0	17	29488415.57	system	04:04.1	system	NULL	4
ICOOL Ung V?n Khiêm	7EC958F6-ED6B-EC11-810F-509A4C8C9FAC	02/01/2022	1	33377000	33377000	0	0	0	0	0	14	14	0	0	9741935.48	7927131.65	0	0	0	30	0	0	37	15707932.87	system	03:53.7	system	NULL	4
ICOOL V?ng Tàu	2A9C9DFC-ED6B-EC11-810F-509A4C8C9FAC	02/01/2022	25	20040100	19826085	0	0	214015	0	0	54	38	20	0	3582580.65	3766873.33	0	0	2	40	1.18	0	17	12476631.02	system	04:04.1	system	NULL	4
ICOOL Ung V?n Khiêm	69F2A520-B76C-EC11-810F-509A4C8C9FAC	03/01/2022	1	13631000	13631000	0	0	0	0	0	7	7	0	0	9741935.48	3193661.66	0	0	0	30	0	0	37	695402.86	system	03:53.4	system	NULL	4
ICOOL V?ng Tàu	6739C926-B76C-EC11-810F-509A4C8C9FAC	03/01/2022	25	3110000	3040600	0	0	69400	0	0	7	8	4	0	3582580.65	765178.08	0	0	10	40	0.24	0	17	-1307158.73	system	04:03.7	system	NULL	4
ICOOL V?ng Tàu	B0962554-806D-EC11-810F-509A4C8C9FAC	04/01/2022	25	9227500	9227500	0	0	0	0	0	28	19	8	0	3582580.65	2136579.59	0	0	5	40	0.47	0	17	3508339.76	system	04:08.7	system	NULL	4
ICOOL Ung V?n Khiêm	ABA05B79-496E-EC11-810F-509A4C8C9FAC	05/01/2022	1	14234000	14234000	0	0	0	0	0	7	7	0	0	9741935.48	3477889.65	0	0	0	30	0	0	37	1014174.87	system	03:59.9	system	NULL	4
ICOOL V?ng Tàu	ED49787F-496E-EC11-810F-509A4C8C9FAC	05/01/2022	25	8679900	8328600	0	0	351300	0	0	21	14	8	0	3582580.65	2409631.07	0	0	3	30	0.47	0	17	2336388.28	system	04:10.2	system	NULL	4
ICOOL V?ng Tàu	D9849AA9-126F-EC11-810F-509A4C8C9FAC	06/01/2022	25	4592200	4592200	0	0	0	0	0	12	11	5	0	3582580.65	1148361.79	0	0	6	30	0.29	0	17	-138742.44	system	04:09.7	system	NULL	4
ICOOL V?ng Tàu	7A4369D4-DB6F-EC11-810F-509A4C8C9FAC	07/01/2022	25	6094900	6094900	0	0	0	0	0	18	11	8	0	3582580.65	1150539.3	0	0	6	50	0.47	0	17	1361780.05	system	04:10.4	system	NULL	4
ICOOL Ung V?n Khiêm	E16A67EB-A470-EC11-810F-509A4C8C9FAC	08/01/2022	1	46539000	46539000	0	0	0	0	0	0	0	0	0	20322580.65	9007846.98	0	0	0	30	0	0	37	17208572.37	system	03:37.8	system	NULL	4
ICOOL Nguy?n Trãi	F50E59AE-A470-EC11-810F-509A4C8C9FAC	08/01/2022	11	0	0	0	0	0	0	3000000	5	5	0	0	3717185.42	0	0	0	0	70	0	0	16	-717185.42	system	01:56.0	system	NULL	4
ICOOL Phan Chu Trinh	B9DB22C1-A470-EC11-810F-509A4C8C9FAC	08/01/2022	23	0	0	0	0	0	0	0	0	0	0	0	6612903.23	0	0	0	0	20	0	0	14	-6612903.23	system	02:27.1	system	NULL	4
ICOOL V?ng Tàu	D47EE4F1-A470-EC11-810F-509A4C8C9FAC	08/01/2022	25	33358800	32283352	749168	0	326280	0	0	93	87	32	0	3582580.65	6740280.06	0	0	1	50	1.88	0	17	21960491.29	system	03:48.7	system	NULL	4
ICOOL Ung V?n Khiêm	C2CC0614-6E71-EC11-810F-509A4C8C9FAC	09/01/2022	1	88662000	88662000	0	0	0	0	0	0	0	0	0	20322580.65	18141972.95	0	0	0	50	0	0	37	50197446.4	system	03:34.8	system	NULL	4
ICOOL Tr?n Não	AD44D50D-6E71-EC11-810F-509A4C8C9FAC	09/01/2022	18	0	0	0	0	0	0	0	0	0	0	0	9451612.9	49858711.51	49858711.51	0	0	120	0	0	20	-9451612.9	system	03:24.5	system	NULL	4
ICOOL V?ng Tàu	DA51161A-6E71-EC11-810F-509A4C8C9FAC	09/01/2022	25	14021500	13323920	0	0	697580	0	0	26	32	9	0	3582580.65	3014327.66	0	0	5	50	0.53	0	17	6727011.69	system	03:45.0	system	NULL	4
ICOOL Ung V?n Khiêm	5C491541-3772-EC11-810F-509A4C8C9FAC	10/01/2022	1	117974500	116603025	529600	189575	652300	1010480	0	341	153	63	4	20322580.65	19156009.86	0	10	2	150	1.7	0	37	78134914.49	system	03:39.2	system	NULL	4
