name,id,date,cuahang_id,sum,total,mon,customer,bill,vat,phuphi,male,female,num_of_bill,complain,chiphi,goods,returns,customer_info,hour_per_bill,hours,tour,expense,room,profit,created_by,created_date,modified_by,modified_date,trangthai
ICOOL B�nh Ph�,E02AF137-DC90-EC11-8111-509A4C8C9FAC,18/02/2022,6,66101800,64627610,975000,80540,418650,0,522000,196,170,43,3,9421428.57,12091922.74,0,5,3,150,1.79,0,24,43636258.69,system,00:05.7,system,NULL,4
ICOOL B�nh Ph�,D9379B62-A591-EC11-8111-509A4C8C9FAC,19/02/2022,6,92084600,90781870,752360,85950,464420,0,0,257,189,56,1,9421428.57,18119807.02,0,10,3,210,2.33,0,24,63240634.41,system,00:06.2,system,NULL,4
ICOOL B�nh Ph�,C2574C8D-6E92-EC11-8111-509A4C8C9FAC,20/02/2022,6,65674400,64383865,1235000,55535,0,0,0,190,142,42,1,9421428.57,12649355.46,0,5,5,210,1.75,0,24,42313080.97,system,00:06.6,system,NULL,4
ICOOL B�nh Ph�,3CF9F8B7-3793-EC11-8111-509A4C8C9FAC,21/02/2022,6,44535500,43465000,890000,0,180500,0,0,100,72,25,0,9421428.57,9591145.89,0,3,8,210,1.04,0,24,24452425.54,system,00:07.1,system,NULL,4
ICOOL B�nh Ph�,E1C72EE6-0094-EC11-8111-509A4C8C9FAC,22/02/2022,6,56442700,55450140,892480,100080,0,0,0,151,115,35,2,9421428.57,12261004.12,0,3,5,180,1.46,0,24,33767707.31,system,00:13.4,system,NULL,4
ICOOL B�nh Ph�,3552EC11-CA94-EC11-8111-509A4C8C9FAC,23/02/2022,6,33933800,33207760,620000,0,106040,0,0,79,70,22,1,9421428.57,6952448.9,0,7,8,190,0.92,0,24,16833882.53,system,00:15.7,system,NULL,4
ICOOL B�nh Ph�,0E969D3B-9395-EC11-8111-509A4C8C9FAC,24/02/2022,6,41660500,41310500,350000,0,0,0,0,132,102,29,1,9421428.57,8071314.86,0,4,7,220,1.21,0,24,23817756.57,system,00:14.5,system,NULL,4
ICOOL B�nh Ph�,634C4866-5C96-EC11-8111-509A4C8C9FAC,25/02/2022,6,51982600,51632600,350000,0,0,0,2260000,106,79,26,2,9421428.57,11364075.18,0,7,8,220,1.08,0,24,33107096.25,system,00:14.9,system,NULL,4
ICOOL B�nh Ph�,B753B092-2597-EC11-8111-509A4C8C9FAC,26/02/2022,6,86515500,85214560,770000,289160,241780,0,200000,226,176,48,1,9421428.57,17872197.36,0,11,4,220,2,0,24,58120934.07,system,00:18.2,system,NULL,4
ICOOL B�nh Ph�,CEB5A5BB-EE97-EC11-8111-509A4C8C9FAC,27/02/2022,6,60805100,59479745,1194270,131085,0,0,0,175,140,43,3,9421428.57,0,0,16,5.12,220,1.79,0,24,50058316.43,system,00:15.8,system,NULL,4
ICOOL B�nh Ph�,0EDF59E6-B798-EC11-8111-509A4C8C9FAC,28/02/2022,6,44303400,43398400,905000,0,0,0,0,128,113,30,0,9421428.57,0,0,6,7.67,230,1.25,0,24,33976971.43,system,00:16.3,system,NULL,4
